AGENCY,AWARDIDIDV,BUREAU,CONTRACT_NUMBER,DATASOURCE,DATE,DESCR,FROM_ZIP_CODE,LONGDESCR,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,PRICE,PSC,TO_ZIP_CODE,UNIT_OF_ISSUE,UNITS,VENDOR,EXTENDED_PRICE,PRODUCT_DESCRIPTION,QUANTITY,UNSPSC_CODE,ORDERING_PROCESS,PSC_DESCRIPTION,DUNS_NUMBER
DEPARTMENT OF THE AIR FORCE,57861215,,GS-02F-XA001,OS2,2/15/2013,"MFG Part#:HEWCE252AG Hewlett-Packard - HEWCE252AG - CRTDG,CLJ,YW - MFG Part: HEWCE252AG","OTHER, UNDEFINED","MFG Part#:HEWCE252AG Hewlett-Packard - HEWCE252AG - CRTDG,CLJ,YW - MFG Part: HEWCE252AG",Hewlett-Packard,CE252AG,224.94,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",674.82,OFFICE SUPPLIES,3,44103103,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,57861215,,GS-02F-XA001,OS2,2/15/2013,"MFG Part#:HEWCE253AG Hewlett-Packard - HEWCE253AG - CRTDG,CLJ,MA - MFG Part: HEWCE253AG","OTHER, UNDEFINED","MFG Part#:HEWCE253AG Hewlett-Packard - HEWCE253AG - CRTDG,CLJ,MA - MFG Part: HEWCE253AG",Hewlett-Packard,CE253AG,224.94,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",674.82,OFFICE SUPPLIES,3,44103103,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,87201015,,GS-02F-XA001,OS2,2/19/2013,"MFG Part#:N26 COSCO/CONSOLIDATED STAMP - N26 - STAMP,CUSTOM MADE,PRE-INKED - MFG Part: N26","OTHER, UNDEFINED","MFG Part#:N26 COSCO/CONSOLIDATED STAMP - N26 - STAMP,CUSTOM MADE,PRE-INKED - MFG Part: N26",COSCO/CONSOLIDATED STAMP,N26,22.5,7510,"OTHER, UNDEFINED",EA,2,"CAPITOL SUPPLY, INC.",45,OFFICE SUPPLIES,2,44121604,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,M00009702358,AIR FORCE,GS-02F-XA001,OS2,2/14/2013,Black Toner Cartridge Printer For HP,"OTHER, UNDEFINED",Black Toner Cartridge Printer For HP,ReNu Toners,ReNu37409,69.84,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",69.84,OFFICE SUPPLIES,1,44103103,DOD EMALL,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,M00009702358,AIR FORCE,GS-02F-XA001,OS2,2/14/2013,Cyan Toner Cartridge Printer For HP,"OTHER, UNDEFINED",Cyan Toner Cartridge Printer For HP,ReNu Toners,ReNu37410,68.5,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",68.5,OFFICE SUPPLIES,1,44103103,DOD EMALL,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,M00009702358,AIR FORCE,GS-02F-XA001,OS2,2/14/2013,Magenta Toner Cartridge Printer For HP,"OTHER, UNDEFINED",Magenta Toner Cartridge Printer For HP,ReNu Toners,ReNu37412,68.5,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",68.5,OFFICE SUPPLIES,1,44103103,DOD EMALL,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,M00009702358,AIR FORCE,GS-02F-XA001,OS2,2/14/2013,Yellow Toner Cartridge Printer For HP,"OTHER, UNDEFINED",Yellow Toner Cartridge Printer For HP,ReNu Toners,ReNu37411,68.5,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",68.5,OFFICE SUPPLIES,1,44103103,DOD EMALL,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKWU0648N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/8/2013,"AT-A-GLANCE # G54550-13 - 1 EA , B1G54550-13 by UPS/FedExGd, At-A-Glance - DayM","OTHER, UNDEFINED","AT-A-GLANCE # G54550-13 - 1 EA , B1G54550-13 by UPS/FedExGd, At-A-Glance - DayM",AT-A-GLANCE,AAGG5455013,13.36,7510,"OTHER, UNDEFINED",EA,8,"CAPITOL SUPPLY, INC.",106.88,OFFICE SUPPLIES,8,44112000,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKWV3039N,AIR NATIONAL GUARD (NOT FOR FLEET LEASE),GS-02F-XA001,OS2,1/11/2013,"SAMSUNG # CLX-C8540A - 1 EA by UPS/FedExGd, CLX-8540 Cyan Toner 15K Yld, The Ma","OTHER, UNDEFINED","SAMSUNG # CLX-C8540A - 1 EA by UPS/FedExGd, CLX-8540 Cyan Toner 15K Yld, The Ma",SAMSUNG,SASCLXC8540A,142.4,7510,"OTHER, UNDEFINED",EA,2,"CAPITOL SUPPLY, INC.",284.8,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKWV3039N,AIR NATIONAL GUARD (NOT FOR FLEET LEASE),GS-02F-XA001,OS2,1/11/2013,"SAMSUNG # CLX-M8540A - 1 EA by UPS/FedExGd, CLX-8540 Mag Toner 15K Yld, The Man","OTHER, UNDEFINED","SAMSUNG # CLX-M8540A - 1 EA by UPS/FedExGd, CLX-8540 Mag Toner 15K Yld, The Man",SAMSUNG,SASCLXM8540A,142.4,7510,"OTHER, UNDEFINED",EA,2,"CAPITOL SUPPLY, INC.",284.8,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKWX4524N,"AIR EDUC. & TRAINING CMD., EXCL. RECRUIT SRV. (FLT LSE)",GS-02F-XA001,OS2,1/18/2013,"BOARD,MARKER,HOR SLDG,4X12' (continue)","OTHER, UNDEFINED","BOARD,MARKER,HOR SLDG,4X12' (continue)",GHENT MANUFACTURING,GHEHSM2412,2025.58,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",2025.58,OFFICE SUPPLIES,1,44111903,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKWY6402N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/24/2013,"AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE","OTHER, UNDEFINED","AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE",NIB,7.53002E+12,52.81,7530,"OTHER, UNDEFINED",BX,50,"CAPITOL SUPPLY, INC.",2640.5,STATIONERY AND RECORD FORMS,50,14111507,GSA ADVANTAGE!,STATIONERY AND RECORD FORMS,131781643
DEPARTMENT OF THE AIR FORCE,NGAKWY8951N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/25/2013,"AbilityOne NSN# 7105-01-419-5293 NISH # 7105014195293 - 1 BX by UPS/FedExGd, Fr","OTHER, UNDEFINED","AbilityOne NSN# 7105-01-419-5293 NISH # 7105014195293 - 1 BX by UPS/FedExGd, Fr",NIB,7.10501E+12,77.89,7105,"OTHER, UNDEFINED",BX,1,"CAPITOL SUPPLY, INC.",77.89,HOUSEHOLD FURNITURE,1,44121500,GSA ADVANTAGE!,HOUSEHOLD FURNITURE,131781643
DEPARTMENT OF THE AIR FORCE,NGAKWZ6825N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/29/2013,"AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE","OTHER, UNDEFINED","AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE",NIB,7.53002E+12,52.81,7530,"OTHER, UNDEFINED",BX,5,"CAPITOL SUPPLY, INC.",264.05,STATIONERY AND RECORD FORMS,5,14111507,GSA ADVANTAGE!,STATIONERY AND RECORD FORMS,131781643
DEPARTMENT OF THE AIR FORCE,NGAKWZ9873N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,"COMPATIBLES - 500 SERIES # 500-CE740A - 1 EA by UPS/FedExGd, Cmpt Bk Tnr CE740A","OTHER, UNDEFINED","COMPATIBLES - 500 SERIES # 500-CE740A - 1 EA by UPS/FedExGd, Cmpt Bk Tnr CE740A",COMPATIBLES - 500 SERIES,500CE740A,111.45,7510,"OTHER, UNDEFINED",EA,2,"CAPITOL SUPPLY, INC.",222.9,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA0118N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,Govt Bk RtnPrg Tnr Ctg (continue),"OTHER, UNDEFINED",Govt Bk RtnPrg Tnr Ctg (continue),LEXMARK,LEXC734A4KG,116.95,7510,"OTHER, UNDEFINED",CT,3,"CAPITOL SUPPLY, INC.",350.85,OFFICE SUPPLIES,3,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA0187N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,"LEXMARK # C746A4MG - 1 EA by Truck, Lexmark Toner Cartridge - Magenta - Laser -","OTHER, UNDEFINED","LEXMARK # C746A4MG - 1 EA by Truck, Lexmark Toner Cartridge - Magenta - Laser -",LEXMARK,LEXC746A4MG,206.79,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",620.37,OFFICE SUPPLIES,3,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA0543N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,"AbilityOne # 7510-00-584-2489 7510 PORTFOLIO,DBL PKT,DBE","OTHER, UNDEFINED","AbilityOne # 7510-00-584-2489 7510 PORTFOLIO,DBL PKT,DBE",NIB,7.51001E+12,12.12,7510,"OTHER, UNDEFINED",BX,9,"CAPITOL SUPPLY, INC.",109.08,OFFICE SUPPLIES,9,53121704,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA2683N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,"AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE","OTHER, UNDEFINED","AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE",NIB,7.53002E+12,52.81,7530,"OTHER, UNDEFINED",BX,10,"CAPITOL SUPPLY, INC.",528.1,STATIONERY AND RECORD FORMS,10,14111507,GSA ADVANTAGE!,STATIONERY AND RECORD FORMS,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA2874N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,"PREMIER # 100-T650 - 1 EA by UPS/FedExGd, Cmpt Tnr T650H11A & T650H21A, T650/T6","OTHER, UNDEFINED","PREMIER # 100-T650 - 1 EA by UPS/FedExGd, Cmpt Tnr T650H11A & T650H21A, T650/T6",PREMIER,100T650,177.44,7510,"OTHER, UNDEFINED",EA,2,"CAPITOL SUPPLY, INC.",354.88,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA3483N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,"SAMSUNG # CLX-C8540A - 1 EA by UPS/FedExGd, CLX-8540 Cyan Toner 15K Yld, The Ma","OTHER, UNDEFINED","SAMSUNG # CLX-C8540A - 1 EA by UPS/FedExGd, CLX-8540 Cyan Toner 15K Yld, The Ma",SAMSUNG,SASCLXC8540A,142.4,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",142.4,OFFICE SUPPLIES,1,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA3483N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,"SAMSUNG # CLX-M8540A - 1 EA by UPS/FedExGd, CLX-8540 Mag Toner 15K Yld, The Man","OTHER, UNDEFINED","SAMSUNG # CLX-M8540A - 1 EA by UPS/FedExGd, CLX-8540 Mag Toner 15K Yld, The Man",SAMSUNG,SASCLXM8540A,142.4,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",142.4,OFFICE SUPPLIES,1,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA3707N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,"EBERHARD FABER # 1738522 - 1 ST , SAN1738522 by UPS/FedExGd, Sharpie Grip Marke","OTHER, UNDEFINED","EBERHARD FABER # 1738522 - 1 ST , SAN1738522 by UPS/FedExGd, Sharpie Grip Marke",EBERHARD FABER,SAN1738522,12.6,7510,"OTHER, UNDEFINED",ST,2,"CAPITOL SUPPLY, INC.",25.2,OFFICE SUPPLIES,2,44121708,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA3707N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/30/2013,"EBERHARD FABER # 39109PP - 1 PK , SAN39109PP by UPS/FedExGd, Metallic Permanent","OTHER, UNDEFINED","EBERHARD FABER # 39109PP - 1 PK , SAN39109PP by UPS/FedExGd, Metallic Permanent",EBERHARD FABER,SAN39109PP,10.49,7510,"OTHER, UNDEFINED",PK,3,"CAPITOL SUPPLY, INC.",31.47,OFFICE SUPPLIES,3,44121708,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA4323N,AIR NATIONAL GUARD (NOT FOR FLEET LEASE),GS-02F-XA001,OS2,1/31/2013,AbilityOne NSN# 8540-01-590-9069 OUTLOOK NEBRASKA # 8540015909069 - 1 BX by UPS,"OTHER, UNDEFINED",AbilityOne NSN# 8540-01-590-9069 OUTLOOK NEBRASKA # 8540015909069 - 1 BX by UPS,NIB,8.54002E+12,44.98,8540,"OTHER, UNDEFINED",BX,1,"CAPITOL SUPPLY, INC.",44.98,TOILETRY PAPER PRODUCTS,1,14111703,GSA ADVANTAGE!,TOILETRY PAPER PRODUCTS,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA4385N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,Cmpt LJ Mgnta Toner C9723A (continue),"OTHER, UNDEFINED",Cmpt LJ Mgnta Toner C9723A (continue),COMPATIBLES - 500 SERIES,500C9723A,79.63,7510,"OTHER, UNDEFINED",CT,2,"CAPITOL SUPPLY, INC.",159.26,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA4486N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"AbilityOne NSN# 7510-01-545-3742 UNICOR # 166113 - 1 PK by UPS/FedExGd, Ability","OTHER, UNDEFINED","AbilityOne NSN# 7510-01-545-3742 UNICOR # 166113 - 1 PK by UPS/FedExGd, Ability",NIB,7.51002E+12,5.7,7510,"OTHER, UNDEFINED",PK,5,"CAPITOL SUPPLY, INC.",28.5,OFFICE SUPPLIES,5,44121500,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA5571N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"VELCRO # 90943 - 1 BX , A890943 by UPS/FedExGd, Velcro - Industrial Strength St","OTHER, UNDEFINED","VELCRO # 90943 - 1 BX , A890943 by UPS/FedExGd, Velcro - Industrial Strength St",VELCRO,VEK90943,12.94,7510,"OTHER, UNDEFINED",BX,5,"CAPITOL SUPPLY, INC.",64.7,OFFICE SUPPLIES,5,11162114,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA6069N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"LEXMARK # C792A4KG - 1 EA by UPS/FedExGd, Lexmark C792A4KG Toner Cartridge - Bl","OTHER, UNDEFINED","LEXMARK # C792A4KG - 1 EA by UPS/FedExGd, Lexmark C792A4KG Toner Cartridge - Bl",LEXMARK,LEXC792A4KG,160.29,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",480.87,OFFICE SUPPLIES,3,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA6873N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"CLASSIC # 52104 - 1 EA , BDY52104 by UPS/FedExGd, Buddy Triple Wall Pocket - 17","OTHER, UNDEFINED","CLASSIC # 52104 - 1 EA , BDY52104 by UPS/FedExGd, Buddy Triple Wall Pocket - 17",CLASSIC,BDY52104,40.76,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",40.76,OFFICE SUPPLIES,1,44111510,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7198N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE","OTHER, UNDEFINED","AbilityOne # 7530-01-539-9831 PAPER,COPY,8.5X11,WE",NIB,7.53002E+12,52.81,7530,"OTHER, UNDEFINED",BX,37,"CAPITOL SUPPLY, INC.",1953.97,STATIONERY AND RECORD FORMS,37,14111507,GSA ADVANTAGE!,STATIONERY AND RECORD FORMS,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7269N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,Cmpt Black Tnr Q6470A Q7560A (continue),"OTHER, UNDEFINED",Cmpt Black Tnr Q6470A Q7560A (continue),PREMIER,100Q6470AU,84.73,7510,"OTHER, UNDEFINED",CT,1,"CAPITOL SUPPLY, INC.",84.73,OFFICE SUPPLIES,1,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7269N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,Cmptbl Bk Tnr Ctg Q6000A (continue),"OTHER, UNDEFINED",Cmptbl Bk Tnr Ctg Q6000A (continue),PREMIER,100Q6000A,55.6,7510,"OTHER, UNDEFINED",CT,2,"CAPITOL SUPPLY, INC.",111.2,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7269N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"MSE # 02-21-53014 - 1 CTG by UPS/FedExGd, Cmpt Blk Tnr CC530A 3.5k Yld, Color L","OTHER, UNDEFINED","MSE # 02-21-53014 - 1 CTG by UPS/FedExGd, Cmpt Blk Tnr CC530A 3.5k Yld, Color L",MSE,22153014,61.06,7510,"OTHER, UNDEFINED",CT,4,"CAPITOL SUPPLY, INC.",244.24,OFFICE SUPPLIES,4,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7269N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"MSE # 02-21-53114 - 1 EA by UPS/FedExGd, Cmpt Cyn Tnr CC531A 2.8K Yld, Color LJ","OTHER, UNDEFINED","MSE # 02-21-53114 - 1 EA by UPS/FedExGd, Cmpt Cyn Tnr CC531A 2.8K Yld, Color LJ",MSE,22153114,68.86,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",206.58,OFFICE SUPPLIES,3,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7269N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"MSE # 02-21-53314 - 1 CTG by UPS/FedExGd, Cmpt Mgt Tnr CC533A 2800 Yld, Color L","OTHER, UNDEFINED","MSE # 02-21-53314 - 1 CTG by UPS/FedExGd, Cmpt Mgt Tnr CC533A 2800 Yld, Color L",MSE,22153314,61.06,7510,"OTHER, UNDEFINED",CT,2,"CAPITOL SUPPLY, INC.",122.12,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7269N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"PREMIER # 100-Q6001A - 1 CTG by UPS/FedExGd, Cmptbl Cy Tnr Ctg Q6001A, LJ 2600/","OTHER, UNDEFINED","PREMIER # 100-Q6001A - 1 CTG by UPS/FedExGd, Cmptbl Cy Tnr Ctg Q6001A, LJ 2600/",PREMIER,100Q6001A,58.07,7510,"OTHER, UNDEFINED",CT,2,"CAPITOL SUPPLY, INC.",116.14,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7269N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"PREMIER # 100-Q6002A - 1 CTG by UPS/FedExGd, Cmptbl Yw Tnr Ctg Q6002A, LJ 2600/","OTHER, UNDEFINED","PREMIER # 100-Q6002A - 1 CTG by UPS/FedExGd, Cmptbl Yw Tnr Ctg Q6002A, LJ 2600/",PREMIER,100Q6002A,58.07,7510,"OTHER, UNDEFINED",CT,2,"CAPITOL SUPPLY, INC.",116.14,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7269N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"PREMIER # 100-Q6003A - 1 CTG by UPS/FedExGd, Cmptbl Mg Tnr Ctg Q6003A, LJ 2600/","OTHER, UNDEFINED","PREMIER # 100-Q6003A - 1 CTG by UPS/FedExGd, Cmptbl Mg Tnr Ctg Q6003A, LJ 2600/",PREMIER,100Q6003A,58.07,7510,"OTHER, UNDEFINED",CT,2,"CAPITOL SUPPLY, INC.",116.14,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7505N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"FALCON # DPSJMB2 - 1 PK OF ( 2 EA) , FALDPSJMB2 by UPS/FedExGd, Falcon Dust-Off","OTHER, UNDEFINED","FALCON # DPSJMB2 - 1 PK OF ( 2 EA) , FALDPSJMB2 by UPS/FedExGd, Falcon Dust-Off",FALCON,FALDPSJMB2,29.4,7510,"OTHER, UNDEFINED",PK,3,"CAPITOL SUPPLY, INC.",88.2,OFFICE SUPPLIES,3,44102904,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7505N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"PLANTRONICS # 66267-01 - 1 EA by UPS/FedExGd, Plantronics A10-12 Phone Cable Ad","OTHER, UNDEFINED","PLANTRONICS # 66267-01 - 1 EA by UPS/FedExGd, Plantronics A10-12 Phone Cable Ad",PLANTRONICS,6626701,33.09,7510,"OTHER, UNDEFINED",EA,4,"CAPITOL SUPPLY, INC.",132.36,OFFICE SUPPLIES,4,26121600,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA7505N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"ZEBRA # 87012 - 1 PK , ZEB87012 by UPS/FedExGd, Zebra Pen Sarasa Gel Retractabl","OTHER, UNDEFINED","ZEBRA # 87012 - 1 PK , ZEB87012 by UPS/FedExGd, Zebra Pen Sarasa Gel Retractabl",ZEBRA,ZEB87012,1.57,7510,"OTHER, UNDEFINED",PK,10,"CAPITOL SUPPLY, INC.",15.7,OFFICE SUPPLIES,10,44121904,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA8139N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"SHARPIE # 32893PP - 1 ST , N232893PP by UPS/FedExGd, Sharpie - Ultra Fine Perma","OTHER, UNDEFINED","SHARPIE # 32893PP - 1 ST , N232893PP by UPS/FedExGd, Sharpie - Ultra Fine Perma",SHARPIE,32893PP,15.35,7510,"OTHER, UNDEFINED",ST,2,"CAPITOL SUPPLY, INC.",30.7,OFFICE SUPPLIES,2,44121708,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA8189N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,1/31/2013,"AbilityOne NSN# 7220-01-582-6242 AbilityOne # 5826242 - 1 EA , NSN5826242 by UP","OTHER, UNDEFINED","AbilityOne NSN# 7220-01-582-6242 AbilityOne # 5826242 - 1 EA , NSN5826242 by UP",ABILITYONE,7.22002E+12,183.79,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",183.79,OFFICE SUPPLIES,1,52101508,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA8324N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,2/1/2013,"AbilityOne NSN# 7530-00-243-9366 ABVI GOODWILL # 108966 - 1 DZ by UPS/FedExGd,","OTHER, UNDEFINED","AbilityOne NSN# 7530-00-243-9366 ABVI GOODWILL # 108966 - 1 DZ by UPS/FedExGd,",NIB,7.53E+12,9.02,7530,"OTHER, UNDEFINED",DZ,1,"CAPITOL SUPPLY, INC.",9.02,STATIONERY AND RECORD FORMS,1,44121500,GSA ADVANTAGE!,STATIONERY AND RECORD FORMS,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA8324N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,2/1/2013,"WEBSTER # PLA6070 - 1 CT OF ( 50 EA) , WBIPLA6070 by UPS/FedExGd, PLAT PLUS LIN","OTHER, UNDEFINED","WEBSTER # PLA6070 - 1 CT OF ( 50 EA) , WBIPLA6070 by UPS/FedExGd, PLAT PLUS LIN",WEBSTER,WBIPLA6070,51.85,7510,"OTHER, UNDEFINED",CT,4,"CAPITOL SUPPLY, INC.",207.4,OFFICE SUPPLIES,4,47121701,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF THE AIR FORCE,NGAKXA8807N,DEPARTMENT OF THE AIR FORCE,GS-02F-XA001,OS2,2/1/2013,AbilityOne NSN# 4020-00-262-2019 EAST TEXAS L/H FOR THE BLIND # 801752 - 1 SL b,"OTHER, UNDEFINED",AbilityOne NSN# 4020-00-262-2019 EAST TEXAS L/H FOR THE BLIND # 801752 - 1 SL b,NIB,4.02E+12,82.35,4020,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",82.35,"FIBER ROPE, CORDAGE, AND TWINE",1,44121700,GSA ADVANTAGE!,"FIBER ROPE, CORDAGE, AND TWINE",131781643
